UF,Area_km2,Qtd_municipios
AC,164123.040,22
AL,27778.506,102
AP,142828.521,16
AM,1551467.876,62
BA,564760.429,417
CE,148894.447,184
DF,5760.783,1
ES,46095.583,78
GO,340242.859,246
MA,329651.496,217
MT,903366.192,141
MS,357145.532,79
MG,586513.983,853
PA,1245870.704,144
PB,56585.000,223
PR,199298.981,399
PE,98067.877,185
PI,251576.644,224
RJ,43750.425,92
RN,52812.528,167
RS,281707.151,497
RO,237590.547,52
RR,224300.506,15
SC,95730.690,295
SP,248219.485,645
SE,21915.424,75
TO,277620.520,139
